department,gender,decision,race
3,M,0,W
0,F,0,H
1,M,1,W
1,F,0,B
3,M,1,W
1,F,0,H
1,M,0,W
3,M,0,B
1,F,0,W
3,M,0,W
0,F,0,W
3,M,0,W
3,M,0,W
3,M,0,W
2,F,0,B
3,M,1,W
3,M,1,W
3,F,0,W
1,F,1,H
3,F,0,W
1,F,0,H
1,F,1,W
3,M,0,W
3,M,0,H
3,M,1,W
3,M,0,W
3,F,1,W
1,F,0,W
3,M,0,W
2,F,0,W
3,F,0,H
3,M,0,W
0,F,0,W
3,M,0,W
1,M,0,W
3,F,1,W
2,F,0,W
0,F,0,W
0,F,0,W
1,F,0,H
0,M,0,W
3,M,0,W
0,F,0,H
2,M,0,H
0,F,0,W
0,F,1,H
3,M,0,W
1,F,1,W
0,F,0,B
0,F,0,W
3,M,0,W
3,M,0,W
3,M,0,H
0,M,0,H
3,M,0,W
3,F,0,W
0,M,1,B
0,F,1,W
3,M,1,W
3,M,0,H
2,F,0,W
3,M,0,W
3,M,1,W
3,M,1,W
3,M,1,W
0,M,0,B
2,F,0,W
0,F,0,W
3,M,0,B
3,M,0,H
0,M,0,W
3,M,0,H
1,F,0,W
3,M,0,W
1,F,0,H
2,F,1,W
1,F,0,W
3,M,1,W
0,F,0,W
2,F,0,H
3,M,0,H
3,F,0,B
0,F,0,W
3,M,1,H
2,M,0,W
3,F,0,W
3,M,0,W
3,M,0,W
3,F,0,W
1,F,1,W
0,F,0,W
3,M,1,W
3,M,0,B
3,M,1,W
3,M,0,W
3,M,1,W
1,F,1,W
0,F,0,W
3,M,0,H
3,M,0,W
0,F,0,W
0,F,0,H
0,M,0,W
3,M,1,W
3,M,0,W
3,M,0,W
2,F,0,H
0,F,0,B
3,M,1,W
3,M,0,W
3,M,1,W
3,M,0,W
1,F,0,B
0,F,0,W
3,F,0,W
3,F,0,W
3,M,0,B
1,F,0,B
3,M,0,W
3,M,0,W
2,F,1,W
2,F,0,B
3,M,0,W
2,M,0,H
1,M,0,W
3,M,1,W
3,M,0,W
3,M,0,W
3,M,1,W
2,M,1,W
3,M,0,W
3,M,0,W
3,M,0,W
3,M,1,W
3,M,0,W
1,F,0,H
1,F,1,W
0,M,0,W
3,M,0,W
3,M,0,B
3,M,1,W
0,F,0,W
0,F,0,W
1,M,0,W
2,F,0,B
3,M,1,W
0,F,0,W
0,F,1,B
2,F,1,W
3,M,1,W
1,F,0,W
3,M,1,W
2,F,0,W
3,M,1,W
3,M,0,W
3,F,0,H
1,F,0,W
3,F,0,W
3,M,0,W
2,F,0,W
2,F,0,W
1,F,0,B
3,M,0,W
1,F,0,W
3,F,0,W
1,M,0,W
1,M,0,W
3,F,0,B
2,F,0,W
0,F,0,H
3,M,0,W
3,M,0,W
3,M,1,W
3,M,0,W
3,F,0,W
3,M,0,W
1,F,0,W
3,M,1,B
3,M,1,W
3,M,1,W
1,F,0,H
3,M,1,W
2,F,0,W
2,F,1,W
0,F,0,W
3,F,1,W
3,M,0,W
2,F,0,W
3,M,0,W
1,F,1,W
1,F,0,W
3,M,0,W
3,M,1,W
3,M,0,B
3,M,1,B
3,M,1,W
3,F,0,W
3,M,0,W
1,F,1,W
3,M,0,W
2,F,0,B
3,M,1,W
3,M,0,W
3,M,0,W
3,F,0,W
3,F,1,H
0,M,0,W
3,M,0,W
3,M,0,W
3,M,0,W
1,F,1,H
0,F,1,W
3,F,0,W
0,F,0,W
0,F,0,B
1,F,1,B
3,F,0,W
3,M,1,W
1,M,0,W
3,M,0,W
3,F,0,W
3,M,0,W
3,F,0,W
3,M,0,W
0,F,0,W
3,M,0,W
2,F,1,B
3,M,0,W
3,M,0,W
3,F,0,W
3,M,0,W
1,M,1,W
3,F,0,W
3,M,0,W
3,M,0,H
2,F,0,W
3,M,0,W
0,F,0,W
3,M,0,H
0,F,0,H
3,M,0,H
3,F,1,W
2,F,1,W
3,M,0,W
3,M,0,H
3,F,1,W
3,F,0,B
3,M,0,W
0,F,0,W
0,M,0,H
3,M,0,W
0,F,0,W
1,F,1,W
3,M,0,W
2,F,0,W
1,F,1,B
0,F,1,H
1,F,0,B
3,M,0,W
3,F,1,W
3,M,0,H
3,F,0,W
2,F,1,W
3,M,0,W
3,F,0,W
3,M,1,W
3,M,0,W
3,M,0,B
3,M,0,W
1,F,0,H
3,M,1,W
3,M,0,W
1,F,1,W
0,M,0,W
3,M,0,W
3,F,0,W
3,M,0,W
2,F,1,W
3,M,0,W
3,M,0,W
3,M,0,W
2,F,0,W
1,F,0,H
3,M,0,W
0,F,0,H
3,M,1,W
3,M,0,W
1,F,0,H
1,F,1,W
3,F,0,W
0,F,0,W
3,M,0,W
0,F,0,W
3,M,1,W
2,M,0,W
0,F,0,W
3,M,0,W
2,F,1,H
0,F,0,W
3,M,1,W
3,M,1,H
3,M,0,W
1,F,1,W
3,F,0,W
3,F,0,W
3,F,0,W
1,M,1,W
2,F,0,W
3,M,0,W
0,F,0,W
3,M,0,H
3,M,0,W
3,F,0,W
3,M,0,W
1,M,0,H
3,M,1,W
3,M,0,B
1,F,0,B
1,F,0,W
3,M,0,W
0,F,0,W
3,M,0,W
2,F,0,H
1,F,1,W
0,F,0,B
3,F,0,W
3,M,0,W
3,M,0,W
3,M,0,W
3,F,0,W
3,F,0,W
3,M,0,W
3,M,0,W
3,M,1,W
0,F,0,H
1,F,0,W
3,M,0,W
0,M,0,W
0,M,0,W
1,F,0,W
3,M,0,W
3,M,1,W
3,M,1,W
3,M,0,W
3,F,0,B
1,F,1,W
1,M,1,W
3,M,0,B
2,F,1,B
3,M,0,B
3,M,0,W
3,M,0,W
3,M,0,W
3,M,1,W
0,F,0,W
3,M,0,W
3,M,0,W
3,M,0,W
0,F,0,W
3,F,0,W
0,M,1,W
3,F,0,W
3,M,1,W
3,M,0,W
3,M,1,W
3,M,1,W
3,M,0,W
1,F,0,W
0,F,0,B
0,F,0,W
3,M,0,H
3,M,0,W
3,M,1,B
3,M,0,B
0,M,0,W
0,F,0,H
3,M,0,W
3,M,1,W
1,F,0,W
3,M,0,W
0,M,0,W
1,F,0,W
0,F,0,W
0,M,0,H
3,M,0,W
3,M,0,W
3,M,0,H
1,F,0,W
3,M,0,W
1,F,0,W
3,M,0,W
3,M,0,W
3,M,1,W
3,M,0,W
3,F,0,H
1,F,1,H
3,F,0,W
2,F,0,W
3,M,1,W
3,F,0,W
3,F,0,W
3,F,1,W
0,F,0,W
3,M,0,W
3,M,0,W
3,M,0,W
1,M,0,W
1,F,0,W
1,F,0,W
2,M,0,H
3,M,0,W
0,M,0,W
3,M,1,W
3,M,1,B
1,M,0,W
2,M,0,B
3,M,0,W
0,F,1,W
3,M,0,B
0,F,0,W
3,M,0,W
1,F,0,W
3,M,0,H
3,M,0,W
3,M,1,W
3,M,0,W
1,F,1,H
3,F,1,W
3,M,0,W
3,M,0,W
0,M,0,W
3,M,0,W
3,M,1,W
1,F,0,W
0,F,1,W
0,F,1,W
3,F,0,W
0,F,0,H
3,M,0,W
3,M,0,W
3,M,0,H
3,M,0,W
3,M,1,W
3,M,0,W
3,M,0,W
3,M,0,H
3,M,0,W
3,M,0,W
0,F,0,W
3,M,1,W
3,M,0,W
3,F,0,B
3,M,0,W
3,M,0,W
3,M,0,W
1,F,1,W
1,F,1,W
0,F,0,W
3,F,1,W
1,F,0,W
0,F,0,H
3,M,0,W
1,F,0,W
3,F,1,B
3,M,1,W
3,M,0,W
3,M,0,W
1,F,0,W
3,M,0,W
3,M,1,W
3,M,0,W
0,F,1,H
3,F,1,H
3,M,0,W
3,M,0,W
3,M,1,W
3,M,1,W
1,F,1,B
3,M,1,W
3,M,1,H
3,M,1,W
1,F,0,W
3,M,0,W
0,M,0,W
3,M,0,W
3,M,1,W
0,M,0,B
2,F,0,W
3,M,0,H
3,M,0,W
0,M,0,H
0,F,0,H
3,M,0,B
3,M,0,W
3,F,1,W
1,F,0,W
1,F,0,W
0,M,0,B
1,F,0,W
3,M,0,W
3,F,0,H
3,F,1,W
3,M,0,W
3,M,0,W
3,M,0,W
2,F,0,W
3,M,0,W
3,M,1,W
1,F,0,B
3,M,0,W
3,M,0,W
3,M,0,W
3,M,0,W
3,F,0,W
3,M,0,W
0,F,0,B
3,M,1,W
3,M,0,W
1,F,0,W
1,F,0,W
3,M,1,W
3,M,1,W
3,M,1,W
0,F,0,W
3,M,1,W
3,M,1,W
3,M,0,W
3,F,0,W
3,F,0,W
2,F,0,W
3,M,1,W
3,M,0,W
3,M,0,W
0,F,0,W
3,M,0,W
3,M,0,H
3,F,1,W
3,M,1,W
3,M,1,W
3,M,0,W
3,M,0,W
0,M,0,W
3,M,1,W
3,M,1,W
0,M,0,W
1,F,1,B
3,M,0,W
3,M,0,W
3,F,0,W
1,F,0,W
3,M,0,W
3,M,0,W
1,F,0,H
3,M,0,W
3,M,1,W
3,M,0,W
2,F,0,W
1,F,0,W
0,M,0,W
3,M,0,W
3,M,1,W
1,F,1,W
3,M,1,W
3,F,0,W
3,F,0,H
2,F,0,W
3,M,1,W
3,F,0,W
3,M,0,W
3,M,1,W
1,F,0,H
3,M,0,W
3,M,0,W
2,F,0,W
3,M,0,W
2,F,0,H
3,M,0,W
3,F,0,H
0,F,0,W
2,F,1,B
2,M,0,H
3,F,1,W
1,F,0,W
2,F,0,B
3,M,0,W
0,M,0,W
0,F,1,W
3,M,0,B
3,M,0,W
1,F,0,W
1,F,0,W
3,M,0,W
3,F,0,W
3,F,1,W
3,M,0,W
3,M,0,W
3,M,0,H
3,M,1,W
1,F,0,W
2,F,0,W
3,M,0,W
1,F,0,W
0,M,0,B
0,F,0,W
3,M,0,W
3,M,0,W
1,F,0,W
3,M,1,W
3,M,0,W
2,F,0,B
1,F,0,W
1,F,0,W
3,M,0,W
0,F,0,H
3,M,0,H
0,M,1,W
2,M,0,H
2,F,1,H
3,M,1,W
1,F,0,W
3,M,1,W
3,M,0,W
3,M,1,W
0,F,0,B
2,F,1,W
3,M,0,W
0,F,0,W
0,M,0,H
3,M,0,W
3,M,0,W
3,F,0,W
3,M,1,B
3,M,0,W
3,M,0,W
3,F,0,W
2,F,0,B
1,F,0,W
3,M,0,B
3,M,0,W
3,F,1,W
1,F,0,B
3,M,1,W
3,M,1,W
1,F,1,W
0,F,0,W
3,F,0,W
3,F,0,W
2,M,1,W
3,M,1,H
3,M,1,W
3,M,1,W
0,M,0,W
3,M,1,H
3,F,0,W
2,M,0,B
1,M,1,B
0,F,0,H
3,M,1,W
3,F,0,W
0,F,0,W
3,M,0,W
1,F,0,H
3,M,0,W
0,F,0,W
0,F,1,W
1,F,0,W
3,M,1,W
0,F,0,H
3,M,1,H
0,F,0,W
3,M,0,W
3,M,1,W
0,M,0,W
3,M,0,W
0,F,0,H
3,M,1,B
3,M,0,W
0,F,0,W
3,M,1,W
3,M,0,W
3,M,0,W
3,M,0,W
3,F,1,W
3,M,0,B
3,M,0,W
3,M,1,W
3,M,1,H
1,F,0,B
2,F,0,H
2,F,0,B
0,M,0,W
1,F,0,H
2,F,0,B
3,M,1,B
3,F,0,W
3,M,0,W
3,M,0,W
3,F,0,W
3,M,0,W
3,M,0,W
2,M,0,B
0,F,1,W
3,M,0,W
3,M,1,W
0,F,0,W
1,F,0,W
3,M,0,W
3,M,0,H
3,M,1,W
3,F,0,W
3,F,0,W
3,M,1,W
3,M,0,W
3,F,0,W
0,F,1,W
0,F,0,W
3,M,0,W
0,F,0,W
3,M,0,W
3,M,1,W
3,M,0,B
1,M,0,W
3,F,1,W
3,F,0,W
3,F,1,W
0,M,0,W
3,M,0,W
