FriendlyId,district2020,district2022,party,votes2016,votes2020,state
04013000006,8,8,Dem,444,575,ARIZONA
04013000728,4,9,Dem,788,1104,ARIZONA
04013000060,6,1,Dem,1036,1382,ARIZONA
04013000709,3,9,Dem,157,232,ARIZONA
04013000558,5,5,Dem,1385,2264,ARIZONA
04013000191,6,1,Dem,1780,2406,ARIZONA
04013000032,6,1,Dem,737,928,ARIZONA
04013000489,6,1,Dem,672,891,ARIZONA
04013000056,6,1,Dem,830,1215,ARIZONA
04013000072,8,8,Dem,455,603,ARIZONA
04013000002,8,8,Dem,729,1029,ARIZONA
04013000025,5,5,Dem,1502,2750,ARIZONA
04013000107,8,8,Dem,482,690,ARIZONA
04013000047,7,3,Dem,626,902,ARIZONA
04013000268,7,3,Dem,1256,1678,ARIZONA
04013000649,7,3,Dem,1132,1477,ARIZONA
04013000516,9,4,Dem,637,985,ARIZONA
04013000402,7,3,Dem,1525,1990,ARIZONA
04013000410,6,1,Dem,2064,2788,ARIZONA
04013000350,3,7,Dem,688,935,ARIZONA
04013000393,6,8,Dem,561,752,ARIZONA
04013000099,9,3,Dem,1303,1952,ARIZONA
04013000653,9,1,Dem,697,946,ARIZONA
04013000447,6,8,Dem,1709,3192,ARIZONA
04013000503,5,4,Dem,1258,2235,ARIZONA
04013000518,5,5,Dem,1407,2236,ARIZONA
04013000233,5,5,Dem,1017,1589,ARIZONA
04013000106,6,8,Dem,1102,1607,ARIZONA
04013000175,6,1,Dem,977,1243,ARIZONA
04013000724,5,5,Dem,814,1697,ARIZONA
04013000275,5,4,Dem,1316,2068,ARIZONA
04013000122,5,5,Dem,1769,2644,ARIZONA
04013000331,9,4,Dem,946,1553,ARIZONA
04013000541,5,5,Dem,699,2730,ARIZONA
04013000149,8,8,Dem,633,1169,ARIZONA
04013000220,5,,Dem,1195,1947,ARIZONA
04013000228,3,,Dem,1348,2610,ARIZONA
04013000092,7,3,Dem,1367,1882,ARIZONA
04005000040,1,2,Dem,144,283,ARIZONA
04005000098,1,2,Dem,374,525,ARIZONA
04005000024,1,2,Dem,1050,1502,ARIZONA
04005000080,1,2,Dem,204,316,ARIZONA
04005000058,1,2,Dem,73,115,ARIZONA
04005000048,1,2,Dem,167,319,ARIZONA
04005000092,1,2,Dem,540,690,ARIZONA
04005000099,1,2,Dem,204,298,ARIZONA
04005000042,1,2,Dem,458,566,ARIZONA
04005000059,1,2,Dem,405,496,ARIZONA
04005000043,1,2,Dem,436,653,ARIZONA
04013000633,6,1,Dem,654,789,ARIZONA
04013000211,5,5,Dem,688,1131,ARIZONA
04013000050,6,,Dem,1553,2650,ARIZONA
04013000273,8,8,Dem,624,845,ARIZONA
04013000034,6,8,Dem,385,544,ARIZONA
04013000212,6,8,Dem,582,825,ARIZONA
04013000078,5,5,Dem,812,1200,ARIZONA
04013000305,6,1,Dem,1049,1377,ARIZONA
04013000027,9,1,Dem,1252,1702,ARIZONA
04013000448,7,3,Dem,1429,1995,ARIZONA
04013000582,7,3,Dem,1665,2162,ARIZONA
04013000227,9,4,Dem,1416,2291,ARIZONA
04013000686,9,4,Dem,1113,1705,ARIZONA
04013000386,8,9,Dem,1626,2489,ARIZONA
04013000218,7,3,Dem,1582,2217,ARIZONA
04013000085,9,4,Dem,1434,1812,ARIZONA
04013000681,9,4,Dem,1341,1864,ARIZONA
04013000246,9,4,Dem,2232,3261,ARIZONA
04013000172,9,4,Dem,1275,1775,ARIZONA
04013000711,9,4,Dem,640,840,ARIZONA
04013000451,9,4,Dem,704,930,ARIZONA
04005000047,1,2,Dem,240,186,ARIZONA
04005000097,1,2,Dem,145,258,ARIZONA
04005000069,1,2,Dem,591,844,ARIZONA
04021000082,1,6,Dem,291,376,ARIZONA
04021000034,1,6,Dem,553,745,ARIZONA
04021000013,1,,Dem,588,1014,ARIZONA
04021000037,1,,Dem,760,1064,ARIZONA
04021000029,1,2,Dem,366,505,ARIZONA
04021000097,4,5,Dem,428,935,ARIZONA
04021000100,1,2,Dem,571,1278,ARIZONA
04021000092,1,6,Dem,1156,1562,ARIZONA
04021000046,4,,Dem,406,597,ARIZONA
04021000030,1,2,Dem,699,1541,ARIZONA
04021000005,1,6,Dem,560,674,ARIZONA
04021000018,1,2,Dem,692,947,ARIZONA
04021000041,1,,Dem,574,912,ARIZONA
04021000038,1,,Dem,349,434,ARIZONA
04021000010,1,6,Dem,410,633,ARIZONA
04013000561,4,9,Dem,72,104,ARIZONA
04013000588,6,8,Dem,568,840,ARIZONA
04005000056,1,2,Dem,276,363,ARIZONA
04013000500,8,8,Dem,560,764,ARIZONA
04013000161,8,8,Dem,484,646,ARIZONA
04013000576,5,5,Dem,845,572,ARIZONA
04021000009,1,,Dem,467,633,ARIZONA
04013000279,5,,Dem,799,1601,ARIZONA
04013000485,7,3,Dem,2448,3776,ARIZONA
04013000136,3,3,Dem,474,1056,ARIZONA
04013000302,5,5,Dem,1289,2358,ARIZONA
04013000112,5,4,Dem,971,1624,ARIZONA
04013000356,5,5,Dem,1580,2696,ARIZONA
04013000526,8,9,Dem,1410,2183,ARIZONA
04013000195,6,1,Dem,940,1145,ARIZONA
04013000311,7,,Dem,702,995,ARIZONA
04013000038,5,4,Dem,1004,1628,ARIZONA
04013000475,7,3,Dem,1008,1581,ARIZONA
04013000287,5,4,Dem,1087,1622,ARIZONA
04013000457,5,4,Dem,852,1362,ARIZONA
04013000216,8,,Dem,1302,2019,ARIZONA
04013000015,8,8,Dem,332,449,ARIZONA
04013000559,6,1,Dem,934,1301,ARIZONA
04013000592,6,1,Dem,611,866,ARIZONA
04013000131,6,1,Dem,494,667,ARIZONA
04013000361,6,1,Dem,544,712,ARIZONA
04013000114,6,1,Dem,1194,1548,ARIZONA
04013000276,6,1,Dem,1111,1547,ARIZONA
04013000286,6,8,Dem,1386,1904,ARIZONA
04013000168,8,8,Dem,834,1038,ARIZONA
04013000738,7,3,Dem,1829,2611,ARIZONA
04013000476,9,4,Dem,1342,1940,ARIZONA
04013000427,9,4,Dem,1086,1468,ARIZONA
04013000117,5,5,Dem,816,1594,ARIZONA
04005000011,1,2,Dem,426,595,ARIZONA
04005000062,1,2,Dem,1275,1696,ARIZONA
04005000041,1,2,Dem,104,143,ARIZONA
04013000232,5,,Dem,1284,1923,ARIZONA
04013000103,7,3,Dem,2057,3408,ARIZONA
04013000073,6,1,Dem,711,841,ARIZONA
04013000666,6,1,Dem,1142,1675,ARIZONA
04013000506,6,1,Dem,1614,2356,ARIZONA
04013000133,8,8,Dem,535,745,ARIZONA
04013000163,5,5,Dem,895,1350,ARIZONA
04013000416,5,5,Dem,1546,2654,ARIZONA
04013000377,6,1,Dem,1549,2469,ARIZONA
04013000035,5,5,Dem,1100,1207,ARIZONA
04013000494,5,5,Dem,531,847,ARIZONA
04013000260,9,1,Dem,904,1150,ARIZONA
04013000733,9,1,Dem,1359,1753,ARIZONA
04013000517,5,5,Dem,1113,1720,ARIZONA
04013000282,3,7,Dem,747,1208,ARIZONA
04013000627,9,1,Dem,768,1070,ARIZONA
04013000602,9,1,Dem,1290,1735,ARIZONA
04013000010,9,4,Dem,1192,1825,ARIZONA
04013000587,6,1,Dem,1050,1262,ARIZONA
04013000250,8,8,Dem,828,1250,ARIZONA
04013000679,5,5,Dem,2221,3386,ARIZONA
04013000088,9,4,Dem,923,1334,ARIZONA
04013000011,9,4,Dem,2126,2729,ARIZONA
04005000073,1,2,Dem,187,313,ARIZONA
04005000075,1,2,Dem,279,387,ARIZONA
04001000085,1,2,Dem,359,436,ARIZONA
04001000125,1,2,Dem,218,282,ARIZONA
04001000080,1,2,Dem,520,591,ARIZONA
04021000048,4,2,Dem,534,937,ARIZONA
04021000059,4,5,Dem,546,893,ARIZONA
04021000007,1,,Dem,657,1160,ARIZONA
04021000049,4,2,Dem,100,137,ARIZONA
04021000051,4,2,Dem,4,4,ARIZONA
04013000374,9,,Dem,1438,2190,ARIZONA
04013000581,9,4,Dem,1642,2140,ARIZONA
04013000732,6,1,Dem,494,671,ARIZONA
04013000690,8,8,Dem,989,1650,ARIZONA
04013000521,8,8,Dem,2047,3111,ARIZONA
04013000082,4,1,Dem,57,97,ARIZONA
04013000701,8,8,Dem,1471,2565,ARIZONA
04013000628,8,8,Dem,633,901,ARIZONA
04013000406,7,,Dem,690,1014,ARIZONA
04013000248,7,1,Dem,486,842,ARIZONA
04013000066,9,4,Dem,620,831,ARIZONA
04013000178,5,5,Dem,702,1941,ARIZONA
04013000330,8,8,Dem,360,444,ARIZONA
04013000444,8,8,Dem,678,1073,ARIZONA
04013000244,8,8,Dem,1335,1959,ARIZONA
04013000284,8,8,Dem,174,242,ARIZONA
04013000646,3,9,Dem,1191,1900,ARIZONA
04013000378,3,,Dem,1171,1601,ARIZONA
04013000727,3,9,Dem,1217,1973,ARIZONA
04013000729,5,5,Dem,525,801,ARIZONA
04013000511,5,5,Dem,1134,1698,ARIZONA
04013000514,6,8,Dem,558,872,ARIZONA
04013000162,8,8,Dem,538,782,ARIZONA
04013000125,8,8,Dem,916,1333,ARIZONA
04013000645,8,8,Dem,534,795,ARIZONA
04013000445,6,8,Dem,812,1128,ARIZONA
04013000706,8,8,Dem,1068,1415,ARIZONA
04013000270,8,8,Dem,1185,1620,ARIZONA
04013000551,6,8,Dem,1387,2069,ARIZONA
04013000601,7,3,Dem,1842,2652,ARIZONA
04013000245,5,5,Dem,2164,3343,ARIZONA
04013000748,8,8,Dem,828,1664,ARIZONA
04013000459,7,3,Dem,930,1787,ARIZONA
04013000045,9,1,Dem,683,877,ARIZONA
04013000504,6,1,Dem,1047,1357,ARIZONA
04013000667,9,1,Dem,318,445,ARIZONA
04013000359,5,,Dem,1243,1833,ARIZONA
04013000398,6,8,Dem,523,765,ARIZONA
04013000531,6,1,Dem,1173,1616,ARIZONA
04013000154,9,4,Dem,1534,2221,ARIZONA
04013000664,4,9,Dem,416,1216,ARIZONA
04013000068,7,3,Dem,1120,1465,ARIZONA
04013000141,8,8,Dem,746,1047,ARIZONA
04021000019,1,2,Dem,401,585,ARIZONA
04021000026,4,5,Dem,717,1025,ARIZONA
04021000012,1,6,Dem,407,436,ARIZONA
04021000068,4,5,Dem,608,1279,ARIZONA
04021000022,1,,Dem,131,194,ARIZONA
04013000176,8,9,Dem,1302,1917,ARIZONA
04005000074,1,2,Dem,183,330,ARIZONA
04005000053,1,2,Dem,37,40,ARIZONA
04013000158,3,7,Dem,1836,2522,ARIZONA
04013000548,7,3,Dem,1936,2595,ARIZONA
04013000719,7,,Dem,1175,1475,ARIZONA
04013000583,3,7,Dem,18,23,ARIZONA
04013000722,6,1,Dem,2197,2773,ARIZONA
04013000673,4,1,Dem,2,2,ARIZONA
04013000306,7,3,Dem,390,502,ARIZONA
04013000084,7,3,Dem,826,1227,ARIZONA
04013000357,5,5,Dem,1190,1689,ARIZONA
04013000707,3,,Dem,1815,2460,ARIZONA
04013000713,8,9,Dem,1599,2530,ARIZONA
04013000615,7,3,Dem,2,0,ARIZONA
04013000659,8,,Dem,1391,2225,ARIZONA
04013000087,7,3,Dem,1280,1735,ARIZONA
04013000670,7,7,Dem,1347,1684,ARIZONA
04013000049,8,8,Dem,544,907,ARIZONA
